app_name,Publisher,gender_id
Amazon Mobile (Mobile App),Amazon Sites,2.0
Amazon Music with Prime Music (Mobile App),Amazon Sites,2.0
Facebook (Mobile App),Facebook,2.0
Facebook Messenger (Mobile App),Facebook,2.0
Google Play (Mobile App),Google Sites,2.0
Google Search (Mobile App),Google Sites,2.0
GroupMe (Mobile App),Microsoft Sites,2.0
Instagram (Mobile App),Facebook,2.0
Kindle (Mobile App),Amazon Sites,2.0
Microsoft Word (Mobile App),Microsoft Sites,2.0
Netflix (Mobile App),Netflix Inc.,2.0
Outlook (Mobile App),Microsoft Sites,2.0
Pinterest (Mobile App),Pinterest,2.0
Sam's Club (Mobile App),Wal-Mart,2.0
Sam's Club Scan & Go (Mobile App),Wal-Mart,2.0
Snapchat (Mobile App),"Snapchat, Inc",2.0
Tumblr (Mobile App),Oath,2.0
Walmart (Mobile App),Wal-Mart,2.0
Yahoo Mail (Mobile App),Oath,2.0
Yahoo Newsroom (Mobile App),Oath,2.0
YouTube (Mobile App),Google Sites,2.0
